wb_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Belize,,,,,,,,,,,,,,,,
Benin,0.20790436668181056,0.1374760344916406,0.1370129513386935,0.15519935905773097,-0.03921924203646021,0.3537364236111873,0.3804956369184276,0.013503956633807768,0.07855759063956547,-0.047561262955458705,0.03178990067552934,0.24225243848629097,-0.11381070481099353,0.04476091364419754,-0.08830543739881935,
Bermuda,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,
Botswana,1.7288089252270047,-0.08265781060035915,-0.5917100371801947,3.4688028847368457,-0.31477550578656255,-0.1006090133457137,-0.060393646019723524,0.26764395515935324,0.20535070437785174,-0.5413918971825608,0.05909694768747942,-0.0868316075279304,0.07644207081016896,1.8192327214342532,0.047711170226401034,
Brazil,0.04259486849333238,-0.01201395967330876,-0.046515274663712414,-0.033866870199032784,0.04136477233672453,0.061902747948773706,0.032837065060178805,0.0786520113479674,0.1203582640984957,-0.08142582357966588,0.20191990930900072,0.053274652658738875,0.04980959344089708,0.06013591744041147,0.03895275972971168,
,,,,,,,,,,,,,,,,
Brunei Darussalam,-0.0005680146066829872,-0.025342186970210845,0.017737821326619496,0.5179982047052372,-0.046816641907386214,0.0016938885622463928,0.07523059659602183,0.4736968033411868,0.024932861655011074,-0.23260606098203385,0.029686862723199647,0.18763888512005766,0.10012072894157242,0.05059410721186941,0.006505969923801702,
Bulgaria,0.07356201058301925,0.04193947359337846,-0.05446081072842612,0.07464209998077243,-0.019211282044639177,0.04933539145793531,0.0809886909216957,0.0263774884486081,0.013025205846343813,-0.1755827951953618,-0.04390151787077512,0.0675767644089722,-0.034549099923862125,-0.1260598684243256,0.05276115819924332,
Burkina Faso,-0.22848738637459343,0.05821231927476078,0.07596239845210762,0.18011715793512817,0.12618474087158105,-0.29887732438255044,0.146687209817689,0.2648736811023247,0.1585355760946563,0.12028115212850721,-0.006395823000098222,-0.025543213556558753,0.07162956471527027,0.3948743992125232,0.004565079725268095,
Burundi,,,,,,,,,,,,,,,,
Cambodia,0.023557657903828355,0.24631748724598923,-0.23459927637326006,0.8500778504232862,0.05730226285869633,0.25202955195051135,0.11401108959406914,0.08824002335690873,0.08509308145928829,0.007929842897328454,0.2165586612693169,0.11394912618021236,-0.017540225966727552,0.16192299424723133,0.02598126824019964,
Canada,0.036935669184223974,-0.03613062033168635,0.039699316657615835,-0.03311212936116281,0.03669875259265587,0.02259304814090024,-0.01674078909681298,0.06143975888451414,-0.032888556323301565,-0.04181533099556234,0.06415437327788931,-0.0630614168444732,0.07329669611470391,0.011074129972982627,-0.014755086574179566,
Cabo Verde,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,
