wb_name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Burundi,0.078,0.079,0.055999999999999994,0.057999999999999996,0.044000000000000004,0.054000000000000006,0.042,0.051,0.051,0.052000000000000005,0.052000000000000005,0.057999999999999996,0.066,0.077,0.08,0.08210331726487577,0.08306411021514333
Cambodia,0.517,0.539,0.614,0.602,0.649,0.667,0.757,0.8180000000000001,0.945,1.063,1.269,1.367,1.42,1.4880000000000002,1.52,1.6129961608554253,1.6295596405052115
Canada,150.15913302075285,156.19279080744332,154.09853174131118,155.5300615843647,160.29112405505236,159.77479819168514,158.08551739080346,156.51726793153404,162.67503328980243,157.59959885978574,148.1521448952578,151.47482539872397,152.33425844380733,153.77282018420226,156.41212850611245,156.68661995404216,152.02683568153287
Cabo Verde,0.047,0.051,0.057,0.066,0.084,0.09,0.094,0.102,0.10800000000000001,0.084,0.09,0.131,0.145,0.135,0.121,0.1202014854662144,0.12292486332504175
Central African Republic,0.07200000000000001,0.073,0.067,0.067,0.064,0.064,0.064,0.068,0.069,0.069,0.069,0.07200000000000001,0.076,0.08,0.081,0.08046545721292038,0.0822885448704825
Chad,0.033,0.048,0.047,0.046,0.104,0.103,0.109,0.111,0.126,0.139,0.134,0.141,0.147,0.14800000000000002,0.166,0.16490451725117014,0.16864072158642093
Chile,16.772000000000002,16.039,14.546,15.043,15.163,16.301000000000002,16.858,17.675,19.535999999999998,19.594,18.218,19.703,21.61,22.081999999999997,22.680999999999997,22.192966781516557,22.09181152630282
China,969.3946070091972,986.7003888601328,1039.1789725182223,1135.073206146445,1340.5064091148522,1561.9584076716947,1787.3297931780069,1968.3479492303527,2139.695032306176,2182.653538400009,2308.501434442472,2461.4334411270497,2687.342852712991,2748.3136906117347,2840.614919032067,2847.688345721934,2826.7106210880115
Colombia,15.411,15.796,15.345999999999998,15.179,15.659,15.017999999999999,16.62,17.164,17.025,18.567999999999998,19.815,20.77,20.87,21.781999999999996,24.441,25.78377297726604,26.934614136681997
Comoros,0.021,0.023,0.023,0.024,0.026,0.027000000000000003,0.027999999999999997,0.031,0.031,0.032,0.032,0.035,0.040999999999999995,0.04,0.044000000000000004,0.04370963107862342,0.04469995030001518
"Congo, Rep.",0.22399999999999998,0.28600000000000003,0.209,0.157,0.25,0.259,0.268,0.305,0.331,0.35700000000000004,0.465,0.525,0.609,0.65,0.677,0.6886148657502127,0.7202960095566021
Costa Rica,1.506,1.493,1.571,1.725,1.807,1.89,1.8730000000000002,1.936,2.215,2.217,2.155,2.064,2.1109999999999998,2.1180000000000003,2.077,2.12926927390956,2.1703935641642857
Cote d'Ivoire,1.709,1.8519999999999999,2.1069999999999998,1.9869999999999999,1.489,2.09,2.134,1.908,1.848,1.848,1.5430000000000001,1.681,1.745,2.2880000000000003,2.451,2.573307721375821,2.7755008376851857
Croatia,5.5173726053496255,5.400961176343001,5.715914290033815,6.012862081075891,6.374241567864198,6.2787213028207685,6.400612949419916,6.464228993117277,6.810965046783987,6.4725393880624065,5.994987791357737,5.781580052000827,5.626211919730237,5.124558228233715,5.010780524307514,4.8054919253735795,4.900967657569192
Cuba,6.9079999999999995,7.1129999999999995,6.941,7.115,6.95,6.819,7.0920000000000005,7.474,7.307,8.302,8.152999999999999,10.465,9.814,9.86,10.728,11.000645304246252,11.229179370569677
Cyprus,1.8801889474366809,1.9485608638400655,1.9110008104074785,1.9631302111836797,2.069569824205513,2.1318127277409937,2.172954410692685,2.2248873020382094,2.308443881095797,2.352550740690229,2.2848638746462884,2.1846583352742903,2.1005259109047487,1.954339046478439,1.760212883713428,1.8772737284691596,1.8895648204316653
Czech Republic,30.535999999999998,33.774,33.739000000000004,32.656,33.286,31.845,32.754,33.299,33.625,31.824,29.358,30.428,29.154,27.553,26.905,26.222670206557762,26.25513191203168
"Congo, Dem. Rep.",0.377,0.222,0.228,0.253,0.26899999999999996,0.327,0.409,0.435,0.472,0.499,0.469,0.5429999999999999,0.6729999999999999,0.6980000000000001,0.758,0.7529610065224066,0.7692160177293158
Denmark,16.160364405039935,14.996180110746655,15.41246057338819,15.311975972906193,16.71897303692505,15.208638566815116,14.233851443325046,16.39612465881438,15.089759748761225,14.159137160558044,13.484031787144454,13.604107880183587,12.252354917670797,10.978606633201046,11.515256546132953,10.378265305412343,9.550526261993916
Djibouti,0.08600000000000001,0.09300000000000001,0.1,0.109,0.115,0.111,0.113,0.11199999999999999,0.126,0.136,0.126,0.141,0.129,0.141,0.166,0.16503650312452314,0.1683225623591413
Dominica,0.022000000000000002,0.027999999999999997,0.03,0.027999999999999997,0.032,0.031,0.032,0.031,0.042,0.036000000000000004,0.036000000000000004,0.038,0.035,0.037000000000000005,0.036000000000000004,0.03687595903304835,0.03770467321914254
Dominican Republic,5.062,5.397,5.404,5.817,5.867000000000001,4.993,5.083,5.3950000000000005,5.774,5.845,5.607,5.904,6.022,6.202999999999999,6.019,6.242361804177513,6.3357937445243655
Ecuador,5.862,5.65,6.303999999999999,6.803999999999999,7.354,7.921,8.253,7.87,8.696,9.236,9.809,10.383,10.81,11.037,11.87,12.262382122436364,12.006210099169573
"Egypt, Arab Rep.",34.195,38.54,34.211,34.686,40.35,41.153999999999996,45.598,48.701,51.566,54.155,56.376999999999995,55.281000000000006,59.221,59.195,58.089,58.425611027551106,59.65743824626847
El Salvador,1.554,1.5659999999999998,1.6219999999999999,1.6469999999999998,1.787,1.736,1.76,1.867,1.903,1.785,1.757,1.732,1.8130000000000002,1.963,1.734,1.7715689096396292,1.8071115402876687
Equatorial Guinea,0.129,0.124,0.8440000000000001,1.358,1.641,1.423,1.285,1.297,1.308,1.228,1.26,1.276,1.8459999999999999,1.59,1.476,1.5923217144946256,1.7473558551469457
Eritrea,0.16899999999999998,0.166,0.172,0.165,0.198,0.21,0.209,0.153,0.158,0.113,0.14,0.14,0.162,0.18,0.182,0.18102990383085552,0.1843384703205053
Estonia,4.235395911768191,4.132474813783376,4.228673850644252,4.0994225300382405,4.594217874655212,4.654769171720027,4.457078010493381,4.290264444698713,5.118899544356804,4.711932323519787,3.8627197493979137,4.867297928261201,5.035461480439666,4.722881339422439,5.340166040785224,5.1634048413510065,5.418496246776597
Ethiopia,0.861,0.968,1.187,1.2329999999999999,1.36,1.444,1.396,1.501,1.64,1.794,1.808,1.796,2.1069999999999998,2.335,2.9,2.961878383272744,2.9960289578623867
"Micronesia, Fed. Sts.",0.032,0.037000000000000005,0.048,0.04,0.04,0.04,0.033,0.034,0.039,0.033,0.046,0.033,0.035,0.039,0.04,0.04269666039819658,0.043151203088836215
Fiji,0.21899999999999997,0.236,0.304,0.228,0.235,0.309,0.37200000000000005,0.371,0.32799999999999996,0.13699999999999998,0.29100000000000004,0.436,0.434,0.435,0.466,0.4961963048491451,0.5013042503833631
