,year,country_code,renewable_energy_consumption_of_total_final_energy_consumpti,household_final_consumption_expenditure_per_capita_constant_20,merchandise_imports_current_us_tm_val_mrch_cd_wt,industry_value_added_constant_2010_us_nv_ind_totl_kd,access_to_electricity_of_population_eg_elc_accs_zs,urban_population_of_total_sp_urb_totl_in_zs,employment_to_population_ratio_15_total_modeled_ilo_est,total_natural_resources_rents_of_gdp_ny_gdp_totl_rt_zs,life_expectancy_at_birth_total_years_sp_dyn_le00_in,net_migration_sm_pop_netm,proportion_of_seats_held_by_women_in_national_parliaments,individuals_using_the_internet_of_population_it_net_user_z
1667,KHM,2010,-0.04072099152558706,638.704258242401,0.16469981078666907,0.1355602777328362,31.1,19.81,84.6320037841797,2.69595661546956,66.4196829268293,,21.1,1.26
1668,KHM,2011,-0.005282371897159188,694.115761017883,0.3695138270091982,0.14478400588769968,38.7531814575195,19.967,85.2009963989258,3.05056190878942,66.8973902439025,,20.3,3.1
1669,KHM,2012,0.002865343963035283,714.567764562155,0.22043010752688175,0.09336677592692721,40.8955383300781,20.137,81.9560012817383,2.46340737546951,67.3273902439024,-149999.0,20.3,4.94
1670,KHM,2013,0.009447860673365227,743.372033022586,-0.05798281938325989,0.10971960048834029,43.0396423339844,20.319,80.7170028686523,1.96549471651341,67.7280243902439,,20.3,6.8
1671,KHM,2014,-0.014460089431642453,764.129699612342,0.11030168178793365,0.09844370314821282,56.1,20.514,80.734001159668,2.48077053104404,68.106243902439,,20.3,14.0
1672,KHM,2015,,796.531533971425,0.06267573475332666,0.11727522236463983,,20.723,80.734001159668,2.02865662725864,68.4720487804878,,20.3,19.0
1673,KHM,2016,,837.055358847266,-0.0012102003072943512,0.10449489451242289,,20.945,80.7389984130859,,,,20.3,25.5706868
1674,KIR,1999,,,,,77.8189392089844,41.54,,0.0272437902256484,63.7026097560976,,4.9,1.211577838
1675,KIR,2000,-0.008793496489543973,,-0.013295838575199226,0.1094253684666382,75.8281021118164,42.958,,0.0295842847520383,63.9506829268293,,4.9,1.785225474
1676,KIR,2001,0.07792882812286517,,0.019625000000000004,-0.0748380941366994,73.8261184692383,43.473,,0.0375979466930914,64.1731219512195,,4.8,2.337458948
1677,KIR,2002,-0.2710847954875122,,0.2200318744636509,-0.09327489492023167,71.81689453125,43.492,,0.0377433021225238,64.3664634146342,-2039.0,4.8,2.5
1678,KIR,2003,0.032743336976472914,,0.03613416668341407,0.0065053119533988735,69.8043212890625,43.512,,0.04501465731397,64.5307317073171,,,3.0
1679,KIR,2004,-0.04668405592352509,,0.15189014100898035,-0.0809834437652972,67.7922973632813,43.532,,0.0451763817116746,64.6699024390244,,4.8,3.5
1680,KIR,2005,-0.31595008888003007,,0.24686805415235402,-0.032481323471875045,69.6764054575327,43.551,,0.026488169604076,64.7869756097561,,4.8,4.0
1681,KIR,2006,-0.14945349098124439,,-0.1617503409904253,0.019842683431688934,63.785514831543,43.571,,0.0343278716049978,64.8884146341464,,7.1,4.5
1682,KIR,2007,0.45547187450897364,,0.12983241323653782,0.19488709311986185,61.7976036071777,43.603,,0.0439371678303828,64.9807073170732,-578.0,4.3,6.0
1683,KIR,2008,-0.05476071507515756,,0.071725564907271,-0.09385962140125648,59.8201942443848,43.647,,0.0719616495857011,65.0723902439024,,4.3,7.0
1684,KIR,2009,0.4100178898242046,,-0.10850890827179993,-0.0759250863181451,46.4,43.704,,0.0742452870230768,65.169,,4.3,8.97
1685,KIR,2010,-0.3593947989665657,,0.09085889112752787,0.13224637681159646,63.1677367075983,43.773,,0.063495205418365,65.2775609756098,,4.3,9.07
1686,KIR,2011,0.06765314085864849,,0.25520911715212136,-0.16666666666666619,53.9334602355957,43.855,,0.0750781952489996,65.4026585365854,,8.7,10.0
1687,KIR,2012,-0.02028556916019364,,0.18323214928008547,-0.09999999999999942,51.9805488586426,43.948,,0.0640739695511678,65.5438536585366,-2130.0,8.7,10.74679768
1688,KIR,2013,0.013399741259972897,,-0.10549199506254725,0.44444444444444464,50.0293884277344,44.055,,0.0574671695919635,65.7001707317073,,8.7,11.5
1689,KIR,2014,0.025925905453138,,0.10456614421353994,,48.0785179138184,44.173,,0.082915277282092,65.8706097560976,,8.7,12.25
1690,KIR,2015,,,0.07216110385978003,,,44.304,,0.087440512145841,66.0521951219512,,8.7,12.99748389
1691,KIR,2016,,,-0.26086956521739135,,,44.447,,,,,6.5,13.7
1692,KNA,1999,,,,,92.4613723754883,32.965,,0.0,,,13.3,4.400440044
1693,KNA,2000,-0.02984747483941319,,0.2810457516339868,0.46155840038271756,92.9968109130859,32.778,,0.0,,,13.3,5.86281024
1694,KNA,2001,-0.013579825844231563,,-0.0357142857142857,0.168009498812157,93.53,32.593,,0.0,,,13.3,7.714726556
1695,KNA,2002,-0.06402703962772338,,0.06349206349206349,-0.02301339720230977,94.0381698608398,32.427,,0.0,71.3365853658537,,13.3,21.15238176
1696,KNA,2003,0.0822464848710609,,-0.00995024875621886,-0.1703245101822889,94.5518798828125,32.281,,0.0,,,13.3,22.96978429
1697,KNA,2004,-0.16518711701804567,,-0.08200502512562813,-0.044508739491213034,95.0661392211914,32.155,,0.0,,,0.0,24.73767754
1698,KNA,2005,0.15134604265384954,,0.15211965322266674,0.06809902375012133,95.5848541259766,32.048,,0.0,,,0.0,34.0
1699,KNA,2006,-0.9994747133035802,,0.1855968113748767,-0.05499322337343149,96.1119232177734,31.961,,0.0,,,0.0,38.5
1700,KNA,2007,-0.03337102606135389,,0.08871371722377397,-0.0052852206958245995,96.6502914428711,31.893,,0.0,,,6.7,43.5
1701,KNA,2008,-0.005922066334929754,,0.19630433982405116,0.04198806865316396,97.1991653442383,31.845,,0.0,,,6.7,49.2
1702,KNA,2009,-0.01636481213625829,,-0.08998769230769232,-0.0006150652177545624,97.7567901611328,31.816,,0.0,,,6.7,55.7
1703,KNA,2010,77.13729597790147,10386.8849508465,-0.08768097811018616,-0.07928895156232463,98.3247222900391,31.806,,0.0,,,6.7,63.0
1704,KNA,2011,-0.06504944536921209,,-0.08586030790669408,-0.10361037837364728,98.8805694580078,31.815,,0.0,,,6.7,63.2
1705,KNA,2012,0.4310869067334575,,-0.08530944031136611,-0.08647645331549314,99.3804321289063,31.844,,0.0,,,6.7,64.0
1706,KNA,2013,0.13871196039122036,,0.10323429944196483,0.1654089497735438,99.7527236938477,31.892,,0.0,,,6.7,64.6
1707,KNA,2014,-0.012374607241081081,,0.07850817986050851,0.0830461662167139,100.0,31.96,,0.0,,,6.7,68.0
1708,KNA,2015,,,0.10577585725195116,0.05321320135470797,,32.047,,0.0,,,13.3,75.7
1709,KNA,2016,,,0.04433364775636717,-0.0004878002123349656,,32.153,,,,,13.3,76.81767491
1710,KOR,1999,,7761.07317966958,,,100.0,79.384,56.7490005493164,0.0122984137437366,75.3734146341463,,3.7,23.55219445
1711,KOR,2000,-0.11011718670401538,8393.07842037905,0.34011122987507525,0.11029471793615797,100.0,79.621,58.3199996948242,0.0112034617497198,75.8353658536585,,5.9,44.7
1712,KOR,2001,-0.01178281563281769,8802.02084916137,-0.1207806531614335,0.037246775715635394,100.0,79.94,58.6419982910156,0.0190529913758993,76.3419512195122,,5.9,56.6
1713,KOR,2002,0.006450317797817906,9528.47299976088,0.07815844306793851,0.07848703868114315,100.0,80.299,59.4930000305176,0.0144804266807392,76.8390243902439,81291.0,5.9,59.4
1714,KOR,2003,0.21376052584527727,9429.77297044924,0.17551897768954672,0.055176699640666405,100.0,80.652,58.5870018005371,0.0211577417638723,77.250243902439,,5.9,65.5
1715,KOR,2004,-0.08914372383698987,9416.2997827621,0.255196362965324,0.07829823664324431,100.0,81.002,58.8979988098145,0.0202329620671651,77.8465853658537,,13.0,72.7
1716,KOR,2005,0.13337058449607708,9811.59588591939,0.16383546508778735,0.04684009104749132,100.0,81.345,58.6529998779297,0.0191769007751518,78.4326829268293,,13.4,73.5
1717,KOR,2006,0.08675936354817093,10207.8712820661,0.18429554658969982,0.06265513353103391,100.0,81.528,58.8019981384277,0.0203672413718964,78.9692682926829,,13.4,78.1
1718,KOR,2007,0.08039161279171725,10674.2057821171,0.1534117905637995,0.07121555088453646,100.0,81.631,59.1370010375977,0.0243106111447597,79.3495121951219,-156535.0,14.4,78.8
