,year,country_code,renewable energy share 2000-14,household expenditure 2015,merchandise imports 2000-15,imports of goods and services,industry value added 2000-15,electricity access 2014,urbanization rate,employment ratio,natural resource rents,life expectancy,net migration,women in parliament,internet use
26,2010 [YR2010],DZA,0.25719831309897,1531.860128720021,40473000000.0,31.422113909898375,81402254331.4602,99.7111740112305,67.526,38.068000793457,19.997522747888,73.8040487804878,,7.7,12.5
27,2011 [YR2011],DZA,0.179943566611151,1592.4001882679129,47247000000.0,28.686182919240455,82400273130.70341,99.8895416259766,68.209,38.173999786377,23.5873034413531,74.07000000000001,,8.0,14.0
28,2012 [YR2012],DZA,0.193122570973421,1639.5173621344347,50378000000.0,28.516013979358785,84586398767.81548,99.9730834960938,68.87,37.9140014648438,22.9871140845402,74.32409756097562,-143268.0,31.6,15.2280267564417
29,2013 [YR2013],DZA,0.144518812548993,1686.7964750433082,55028000000.0,30.396795697896618,85543336709.35143,99.9969177246094,69.51,39.3019981384277,21.3234020933474,74.5689512195122,,31.6,16.5
30,2014 [YR2014],DZA,0.0687754386656932,1725.429110305577,58580000000.0,31.900834696049778,88468467765.50401,100.0,70.129,38.9459991455078,19.2926448513542,74.80809756097563,,31.6,25.0
31,2015 [YR2015],DZA,,1758.6296586110518,51702000000.0,36.78928848927035,91270921631.93405,,70.727,38.8880004882813,11.9902442851093,75.04253658536585,,31.6,38.2
32,2000 [YR2000],AND,14.890668621818,,,,,100.0,92.395,,0.0,,,7.1,10.53883560922
33,2001 [YR2001],AND,15.773872648192,,,,,100.0,92.056,,0.0,,,14.3,
34,2002 [YR2002],AND,16.2218188829497,,,,,100.0,91.641,,0.0,,,14.3,11.2604687170103
35,2003 [YR2003],AND,16.9123075876121,,,,,100.0,91.207,,0.0,,,14.3,13.546412876439
36,2004 [YR2004],AND,16.8744239120206,,,,,100.0,90.751,,0.0,,,14.3,26.8379543894637
37,2005 [YR2005],AND,16.9024416369854,,,,,100.0,90.295,,0.0,,,28.6,37.6057662174867
38,2006 [YR2006],AND,17.4859962898686,,,,,100.0,89.838,,0.0,,,28.6,48.9368469989479
39,2007 [YR2007],AND,16.9407765392178,,,,,100.0,89.363,,0.0,,,28.6,70.87
40,2008 [YR2008],AND,17.4227398039536,,,,,100.0,88.867,,0.0,,,25.0,70.04
41,2009 [YR2009],AND,17.5159512321117,,,,,100.0,88.352,,0.0,,,35.7,78.53
42,2010 [YR2010],AND,19.0907266147214,,,,460490066.22516555,100.0,87.817,,0.0,,,35.7,81.0
43,2011 [YR2011],AND,18.971541221453,,,,,100.0,87.26,,0.0,,,50.0,81.0
44,2012 [YR2012],AND,19.1955340068061,,,,,100.0,86.708,,0.0,,,50.0,86.4344246167258
45,2013 [YR2013],AND,19.5637006651701,,,,,100.0,86.165,,0.0,,,50.0,94.0
46,2014 [YR2014],AND,19.8863267127447,,,,,100.0,85.633,,,,,50.0,95.9
47,2015 [YR2015],AND,,,,,,,85.115,,,,,39.3,96.91
48,2000 [YR2000],AGO,74.6181761876244,,3040000000.0,62.827757698865774,,41.7885398864746,32.419,65.1760025024414,61.9566979211907,45.20478048780489,,15.5,0.105045562462262
49,2001 [YR2001],AGO,73.7578502162101,,3179000000.0,74.94651525943785,,41.1147270202637,33.152,65.1460037231445,45.5917376068122,45.973146341463426,,15.5,0.136013867429868
50,2002 [YR2002],AGO,72.1251210435031,,3760000000.0,56.66897053741462,,40.4336700439453,33.895,64.8010025024414,38.3569939726715,46.71173170731708,172594.0,15.5,0.270376745595134
51,2003 [YR2003],AGO,67.306120093871,,5480000000.0,62.02893485171243,,39.749267578125,34.645,64.8499984741211,36.6540435981515,47.39317073170732,,15.5,0.370682065225727
52,2004 [YR2004],AGO,65.4930582780939,,5832000000.0,54.144868675738536,,39.0654182434082,35.405,64.6190032958984,45.1906800538674,48.00351219512196,,15.0,0.464814617985909
53,2005 [YR2005],AGO,70.9541867026386,,8353000000.0,53.638799995936324,,38.3860244750977,36.169,64.1650009155273,59.9082215273012,48.53880487804878,,15.0,1.1433668265595
54,2006 [YR2006],AGO,65.0225750915449,,8777600000.0,38.97826466909292,,37.7149772644043,36.942,63.7430000305176,54.1352418835,49.00704878048781,,15.0,1.5
55,2007 [YR2007],AGO,61.5996898813788,,13661000000.0,43.51562639845877,,37.5,37.722,63.2709999084473,51.321094551294,49.435731707317075,85286.0,15.0,1.7
56,2008 [YR2008],AGO,58.1079849716235,,20982000000.0,51.22655143216674,,36.4059982299805,38.509,63.1129989624023,58.056389212494,49.847390243902446,,37.3,1.9
57,2009 [YR2009],AGO,55.7489711114872,,22659900000.0,55.40868389084399,,35.7655067443848,39.299,63.3860015869141,28.1221547464694,50.251024390243906,,38.6,2.3
58,2010 [YR2010],AGO,54.1938251541075,1710.5711325519635,16666870000.0,42.94996785427942,,35.1320190429688,40.097,63.5460014343262,39.0314457416062,50.65417073170732,,38.6,2.8
59,2011 [YR2011],AGO,52.7156865939078,,20228400000.0,42.16296196622979,,34.6,40.9,63.5940017700195,44.5049457155699,51.05931707317073,,38.2,3.1
60,2012 [YR2012],AGO,52.2457333059508,,23716900000.0,39.739432524101325,,33.879035949707,41.699,63.6290016174316,41.5594819892597,51.46400000000001,102322.0,34.1,6.5
61,2013 [YR2013],AGO,50.6861106507453,,26330987036.3,39.38000879208381,,33.256046295166,42.49,63.648998260498,34.892099898287,51.86617073170732,,34.1,8.9
62,2014 [YR2014],AGO,50.7974664494012,,28580270905.54,42.21153252834049,,32.0,43.274,63.7439994812012,27.5324944628527,52.26687804878049,,36.8,10.2
63,2015 [YR2015],AGO,,,20692537054.82,36.14288110801146,,,44.05,63.7949981689453,11.2514152141393,52.66609756097561,,36.8,12.4
64,2000 [YR2000],ATG,0.0,6640.368654768111,407000000.0,60.38989858587579,158655857.5040416,88.1680374145508,32.127,,0.0,73.39729268292683,,5.3,6.48222573702907
65,2001 [YR2001],ATG,0.0,7223.488818263958,386000000.0,61.12905992108645,129676243.92023145,88.7392349243164,31.74,,0.0,73.60709756097562,,5.3,8.89928551450583
66,2002 [YR2002],ATG,0.0,6968.658213151309,400000000.0,58.59055312193164,137486719.3294721,89.3031921386719,31.099,,0.0,73.81543902439024,-282.0,5.3,12.5
67,2003 [YR2003],ATG,0.0,7876.10419660001,422415000.0,62.895729385845954,149376180.29972026,89.8638000488281,30.465,,0.0,74.02178048780488,,5.3,17.2286487816884
68,2004 [YR2004],ATG,0.0,7751.153716111558,453937000.0,64.82780830946511,152098493.40117115,90.4249572753906,29.837,,0.0,74.22614634146342,,10.5,24.2665437161785
69,2005 [YR2005],ATG,0.0,8945.764624975609,506000000.0,67.26445277082908,181846210.44939786,90.9905776977539,29.219,,0.0,74.42543902439026,,10.5,27.0
70,2006 [YR2006],ATG,0.0,12477.96408830146,624181481.481481,71.22672198095854,246309163.44838277,91.5645370483398,28.607,,0.0,74.61814634146342,,10.5,30.0
71,2007 [YR2007],ATG,0.0,11202.40151740714,728256000.0,71.58937930044848,266255212.3745986,92.1498107910156,28.003,,0.0,74.80321951219514,-92.0,10.5,34.0
72,2008 [YR2008],ATG,0.0,10406.193608312877,742741000.0,70.02900568264926,267190465.6755394,92.7455825805664,27.406,,0.0,74.97917073170734,,10.5,38.0
